pr,ease,t_ms,seamI_deg,seamO_deg,inner_rMin,inner_rMax,outer_rMin,outer_rMax,inbox_arcFrac,inbox_alphaFrac,thread_arc,thread_noteArc,anchor-sketch_arc,anchor-sketch_noteArc,keystone_arc,keystone_noteArc,cinder-query_arc,cinder-query_noteArc,spec_arc,spec_noteArc,isthmus_arc,isthmus_noteArc,cinder-plan_arc,cinder-plan_noteArc,jigsaw_arc,jigsaw_noteArc,impost_arc,impost_noteArc,anchor-query_arc,anchor-query_noteArc,beacon-memo_arc,beacon-memo_noteArc,dado_arc,dado_noteArc,anchor-plan_arc,anchor-plan_noteArc,gantry_arc,gantry_noteArc,yoke_arc,yoke_noteArc,(untagged)_arc,(untagged)_noteArc,anchor-memo_arc,anchor-memo_noteArc,ferrule_arc,ferrule_noteArc,transom_arc,transom_noteArc,archive_arc,archive_noteArc,anchor-log_arc,anchor-log_noteArc,beacon-log_arc,beacon-log_noteArc,parapet_arc,parapet_noteArc,cadence_arc,cadence_noteArc,louver_arc,louver_noteArc,anchor-index_arc,anchor-index_noteArc,ballast_arc,ballast_noteArc,hasp_arc,hasp_noteArc,anchor-guide_arc,anchor-guide_noteArc,beacon-index_arc,beacon-index_noteArc,dowel_arc,dowel_noteArc,cinder-log_arc,cinder-log_noteArc,eaves_arc,eaves_noteArc,cinder-index_arc,cinder-index_noteArc,dovetail_arc,dovetail_noteArc,cinder-guide_arc,cinder-guide_noteArc,cinder-field_arc,cinder-field_noteArc,abacus_arc,abacus_noteArc,cinder-draft_arc,cinder-draft_noteArc,beacon-guide_arc,beacon-guide_noteArc,cinder-brief_arc,cinder-brief_noteArc,review_arc,review_noteArc,anchor-field_arc,anchor-field_noteArc,beacon-trace_arc,beacon-trace_noteArc,beacon-field_arc,beacon-field_noteArc,beacon-sketch_arc,beacon-sketch_noteArc,inlay_arc,inlay_noteArc,anchor-draft_arc,anchor-draft_noteArc,beacon-brief_arc,beacon-brief_noteArc,rafter_arc,rafter_noteArc,eyelet_arc,eyelet_noteArc,beacon-query_arc,beacon-query_noteArc,wicket_arc,wicket_noteArc,anchor-trace_arc,anchor-trace_noteArc,nacelle_arc,nacelle_noteArc,reveal_arc,reveal_noteArc,beacon-plan_arc,beacon-plan_noteArc,nosing_arc,nosing_noteArc,jamb_arc,jamb_noteArc,embrasure_arc,embrasure_noteArc,halyard_arc,halyard_noteArc,apse_arc,apse_noteArc,uprise_arc,uprise_noteArc,quoin_arc,quoin_noteArc,mullion_arc,mullion_noteArc,inglenook_arc,inglenook_noteArc,escarp_arc,escarp_noteArc,alcove_arc,alcove_noteArc,wainscot_arc,wainscot_noteArc,beacon-draft_arc,beacon-draft_noteArc,tiller_arc,tiller_noteArc,gusset_arc,gusset_noteArc,anchor-brief_arc,anchor-brief_noteArc,quarry_arc,quarry_noteArc,cupola_arc,cupola_noteArc,plinth_arc,plinth_noteArc,undercroft_arc,undercroft_noteArc,mortise_arc,mortise_noteArc,pilaster_arc,pilaster_noteArc,lintel_arc,lintel_noteArc,lancet_arc,lancet_noteArc,gable_arc,gable_noteArc,corbel_arc,corbel_noteArc,weir_arc,weir_noteArc,soffit_arc,soffit_noteArc,oriel_arc,oriel_noteArc,kerf_arc,kerf_noteArc,grommet_arc,grommet_noteArc,cistern_arc,cistern_noteArc,yardarm_arc,yardarm_noteArc,undertow_arc,undertow_noteArc,knurl_arc,knurl_noteArc,spandrel_arc,spandrel_noteArc,fascia_arc,fascia_noteArc,zinc_arc,zinc_noteArc,obelisk_arc,obelisk_noteArc,tracery_arc,tracery_noteArc,ogee_arc,ogee_noteArc,keel_arc,keel_noteArc,finial_arc,finial_noteArc,buttress_arc,buttress_noteArc,valance_arc,valance_noteArc,rebate_arc,rebate_noteArc,newel_arc,newel_noteArc,joist_arc,joist_noteArc,flange_arc,flange_noteArc,brazier_arc,brazier_noteArc,xylem_arc,xylem_noteArc,hinge_arc,hinge_noteArc,dormer_arc,dormer_noteArc,verge_arc,verge_noteArc,quirk_arc,quirk_noteArc,muntin_arc,muntin_noteArc,zephyr_arc,zephyr_noteArc,vellum_arc,vellum_noteArc,delta-draft_arc,delta-draft_noteArc,delta-brief_arc,delta-brief_noteArc,cinder-trace_arc,cinder-trace_noteArc,cinder-sketch_arc,cinder-sketch_noteArc,cinder-memo_arc,cinder-memo_noteArc
0.1450,0.0570,928.7,93.5,1.95,1052.2,1756.7,2767.2,3756.3,0.974,0.909,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.2,9.1,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,21.6,20.7,3.3,1.7,2.6,1.7,1.2,1.2,13.6,12.7,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.1,16.3,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1480,0.0592,945.4,93.5,1.95,1052.2,1756.7,2767.4,3757.6,0.974,0.906,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.2,9.1,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,21.7,20.8,3.3,1.7,2.6,1.7,1.2,1.2,13.7,12.7,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.1,16.3,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1500,0.0607,962,93.5,1.95,1052.2,1756.7,2767.6,3759,0.973,0.903,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.2,9.2,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,21.7,20.8,3.3,1.7,2.6,1.7,1.2,1.2,13.7,12.7,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.1,16.4,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1530,0.0631,978.8,93.5,1.95,1052.2,1756.7,2767.9,3760.3,0.973,0.9,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.3,9.2,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,21.8,20.9,3.3,1.7,2.6,1.7,1.2,1.2,13.7,12.8,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.2,16.4,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1560,0.0654,995.6,93.5,1.95,1052.2,1756.7,2768.1,3761.7,0.972,0.897,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.3,9.2,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,21.9,20.9,3.3,1.7,2.6,1.7,1.2,1.2,13.8,12.8,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.2,16.5,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1580,0.0670,1012.1,93.5,1.95,1052.2,1756.7,2768.3,3763.1,0.972,0.894,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.3,9.2,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,21.9,21,3.3,1.7,2.6,1.7,1.2,1.2,13.8,12.8,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.3,16.5,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1610,0.0694,1029,93.5,1.95,1052.2,1756.7,2768.5,3764.5,0.971,0.891,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.4,9.3,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,22,21,3.3,1.7,2.6,1.7,1.2,1.2,13.8,12.9,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.3,16.6,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1630,0.0710,1046.7,93.5,1.94,1052.2,1756.7,2768.8,3766,0.971,0.888,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.4,9.3,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,22,21.1,3.3,1.7,2.6,1.7,1.2,1.2,13.9,12.9,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.4,16.6,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1660,0.0735,1062.2,93.5,1.94,1052.2,1756.7,2769,3767.4,0.97,0.885,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.4,9.3,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,22.1,21.2,3.3,1.7,2.6,1.7,1.2,1.2,13.9,12.9,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.4,16.6,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1690,0.0760,1080.5,93.5,1.94,1052.2,1756.7,2769.3,3768.9,0.969,0.882,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.4,9.3,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,22.1,21.2,3.3,1.7,2.6,1.7,1.2,1.2,13.9,13,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.5,16.7,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.1710,0.0777,1095.5,93.5,1.94,1052.2,1756.7,2769.5,3770.5,0.969,0.879,3.3,3.3,3.3,3.3,1.9,1.5,1.2,1.2,10.5,9.4,2.6,1.7,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,2,2.6,1.7,1.2,1.2,22.2,21.3,3.3,1.7,2.6,1.7,1.2,1.2,14,13,3.3,3.3,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,3.3,3.3,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,3.3,3.3,1.2,1.2,17.5,16.7,3.3,3.3,1.2,1.2,3.3,2,1.2,1.2,1.2,1.2,3.3,2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,3.3,3.3,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,2.6,1.7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,3.3,1.7,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.9,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
